county,office,district,party,candidate,votes,no_votes
TOTAL,State Senate,32,Republican Party,Mark Calonder,17294,
DENVER,State Senate,32,Independent,Peter Lucas Smith,3446,
TOTAL,State Senate,32,Independent,Peter Lucas Smith,3446,
DENVER,State Senate,34,Democratic Party,Julie Gonzales,54312,
TOTAL,State Senate,34,Democratic Party,Julie Gonzales,54312,
DENVER,State Senate,34,Republican Party,Gordon Alley,11018,
TOTAL,State Senate,34,Republican Party,Gordon Alley,11018,
DENVER,State Representative,1,Democratic Party,Susan Lontine,17313,
JEFFERSON,State Representative,1,Democratic Party,Susan Lontine,87,
TOTAL,State Representative,1,Democratic Party,Susan Lontine,17400,
DENVER,State Representative,1,Republican Party,Alysia Padilla,8595,
JEFFERSON,State Representative,1,Republican Party,Alysia Padilla,92,
TOTAL,State Representative,1,Republican Party,Alysia Padilla,8687,
DENVER,State Representative,1,Libertarian Party,Darrell Dinges,1095,
JEFFERSON,State Representative,1,Libertarian Party,Darrell Dinges,4,
TOTAL,State Representative,1,Libertarian Party,Darrell Dinges,1099,
DENVER,State Representative,2,Democratic Party,Alec Garnett,40121,
TOTAL,State Representative,2,Democratic Party,Alec Garnett,40121,
ARAPAHOE,State Representative,3,Republican Party,Toren Mushovic,14891,
TOTAL,State Representative,3,Republican Party,Toren Mushovic,14891,
ARAPAHOE,State Representative,3,Democratic Party,Jeff Bridges,23457,
TOTAL,State Representative,3,Democratic Party,Jeff Bridges,23457,
DENVER,State Representative,4,Republican Party,"Robert ""Dave"" John",5756,
TOTAL,State Representative,4,Republican Party,"Robert ""Dave"" John",5756,
DENVER,State Representative,4,Democratic Party,Serena Gonzales-Gutierrez,27564,
TOTAL,State Representative,4,Democratic Party,Serena Gonzales-Gutierrez,27564,
DENVER,State Representative,5,Democratic Party,Alex Valdez,27131,
TOTAL,State Representative,5,Democratic Party,Alex Valdez,27131,
DENVER,State Representative,5,Republican Party,Katherine E. Whitney,6136,
TOTAL,State Representative,5,Republican Party,Katherine E. Whitney,6136,
DENVER,State Representative,5,Libertarian Party,Rory Lamberton,1061,
TOTAL,State Representative,5,Libertarian Party,Rory Lamberton,1061,
DENVER,State Representative,6,Democratic Party,Chris Hansen,32899,
TOTAL,State Representative,6,Democratic Party,Chris Hansen,32899,
DENVER,State Representative,7,Republican Party,Jay Frank Kucera,5338,
TOTAL,State Representative,7,Republican Party,Jay Frank Kucera,5338,
DENVER,State Representative,7,Democratic Party,James Rashad Coleman,27272,
TOTAL,State Representative,7,Democratic Party,James Rashad Coleman,27272,
DENVER,State Representative,8,Democratic Party,Leslie Herod,39517,
TOTAL,State Representative,8,Democratic Party,Leslie Herod,39517,
ARAPAHOE,State Representative,9,Democratic Party,Emily Sirota,2415,
DENVER,State Representative,9,Democratic Party,Emily Sirota,24850,
TOTAL,State Representative,9,Democratic Party,Emily Sirota,27265,
ARAPAHOE,State Representative,9,Republican Party,Bob Lane,804,
DENVER,State Representative,9,Republican Party,Bob Lane,9862,
TOTAL,State Representative,9,Republican Party,Bob Lane,10666,
BOULDER,State Representative,10,Republican Party,Murl S. Hendrickson IV,5513,
TOTAL,State Representative,10,Republican Party,Murl S. Hendrickson IV,5513,
BOULDER,State Representative,10,Democratic Party,Edie Hooton,36310,
TOTAL,State Representative,10,Democratic Party,Edie Hooton,36310,
BOULDER,State Representative,11,Democratic Party,Jonathan Singer,27545,
TOTAL,State Representative,11,Democratic Party,Jonathan Singer,27545,
BOULDER,State Representative,11,Republican Party,Brian O Donahue,13394,
TOTAL,State Representative,11,Republican Party,Brian O Donahue,13394,
BOULDER,State Representative,12,Democratic Party,Sonya Jaquez Lewis,30880,
TOTAL,State Representative,12,Democratic Party,Sonya Jaquez Lewis,30880,
BOULDER,State Representative,12,Unaffiliated,Theresa Stets,11110,
TOTAL,State Representative,12,Unaffiliated,Theresa Stets,11110,
BOULDER,State Representative,13,Republican Party,Kevin Sipple,3820,
CLEAR CREEK,State Representative,13,Republican Party,Kevin Sipple,2285,
GILPIN,State Representative,13,Republican Party,Kevin Sipple,1442,
GRAND,State Representative,13,Republican Party,Kevin Sipple,3828,
JACKSON,State Representative,13,Republican Party,Kevin Sipple,554,
TOTAL,State Representative,13,Republican Party,Kevin Sipple,11929,
BOULDER,State Representative,13,Democratic Party,K.C. Becker,24085,
CLEAR CREEK,State Representative,13,Democratic Party,K.C. Becker,2906,
GILPIN,State Representative,13,Democratic Party,K.C. Becker,1814,
GRAND,State Representative,13,Democratic Party,K.C. Becker,3522,
JACKSON,State Representative,13,Democratic Party,K.C. Becker,172,
TOTAL,State Representative,13,Democratic Party,K.C. Becker,32499,
EL PASO,State Representative,14,Republican Party,Shane Sandridge,27765,
TOTAL,State Representative,14,Republican Party,Shane Sandridge,27765,
EL PASO,State Representative,14,Democratic Party,Paul J. Haddick,12787,
TOTAL,State Representative,14,Democratic Party,Paul J. Haddick,12787,
EL PASO,State Representative,15,Democratic Party,Brenda Krause,12874,
TOTAL,State Representative,15,Democratic Party,Brenda Krause,12874,
EL PASO,State Representative,15,Republican Party,Dave Williams,20499,
TOTAL,State Representative,15,Republican Party,Dave Williams,20499,
EL PASO,State Representative,16,Democratic Party,Andrew Smith,12484,
TOTAL,State Representative,16,Democratic Party,Andrew Smith,12484,
EL PASO,State Representative,16,Republican Party,Larry G. Liston,20177,
TOTAL,State Representative,16,Republican Party,Larry G. Liston,20177,
EL PASO,State Representative,16,Libertarian Party,John Hjersman,1360,
TOTAL,State Representative,16,Libertarian Party,John Hjersman,1360,
EL PASO,State Representative,17,Republican Party,Kit Roupe,7745,
TOTAL,State Representative,17,Republican Party,Kit Roupe,7745,
EL PASO,State Representative,17,Democratic Party,"Thomas ""Tony"" Exum Sr.",11037,
TOTAL,State Representative,17,Democratic Party,"Thomas ""Tony"" Exum Sr.",11037,
EL PASO,State Representative,18,Republican Party,Mary Elizabeth Fabian,12853,
TOTAL,State Representative,18,Republican Party,Mary Elizabeth Fabian,12853,
EL PASO,State Representative,18,Democratic Party,Marc A. Snyder,20778,
TOTAL,State Representative,18,Democratic Party,Marc A. Snyder,20778,
EL PASO,State Representative,18,Independent,Maile Foster,2489,
TOTAL,State Representative,18,Independent,Maile Foster,2489,
EL PASO,State Representative,19,Republican Party,Tim Geitner,36828,
TOTAL,State Representative,19,Republican Party,Tim Geitner,36828,
EL PASO,State Representative,19,Democratic Party,Asia M. Zanders,11667,
TOTAL,State Representative,19,Democratic Party,Asia M. Zanders,11667,
EL PASO,State Representative,20,Republican Party,Terri Carver,23479,
TOTAL,State Representative,20,Republican Party,Terri Carver,23479,
EL PASO,State Representative,20,Democratic Party,Kent Edward Jarnig,13881,
TOTAL,State Representative,20,Democratic Party,Kent Edward Jarnig,13881,
EL PASO,State Representative,21,Republican Party,Lois Landgraf,12529,
TOTAL,State Representative,21,Republican Party,Lois Landgraf,12529,
EL PASO,State Representative,21,Democratic Party,Liz Rosenbaum,8863,
TOTAL,State Representative,21,Democratic Party,Liz Rosenbaum,8863,
JEFFERSON,State Representative,22,Democratic Party,Todd Kastetter,19939,
TOTAL,State Representative,22,Democratic Party,Todd Kastetter,19939,
JEFFERSON,State Representative,22,Republican Party,Colin Larson,23064,
TOTAL,State Representative,22,Republican Party,Colin Larson,23064,
JEFFERSON,State Representative,23,Democratic Party,Chris Kennedy,25414,
TOTAL,State Representative,23,Democratic Party,Chris Kennedy,25414,
JEFFERSON,State Representative,23,Republican Party,Joan Poston,15011,
TOTAL,State Representative,23,Republican Party,Joan Poston,15011,
JEFFERSON,State Representative,24,Republican Party,Arthur Erwin,14945,
TOTAL,State Representative,24,Republican Party,Arthur Erwin,14945,
JEFFERSON,State Representative,24,Democratic Party,Monica Duran,25987,
TOTAL,State Representative,24,Democratic Party,Monica Duran,25987,
JEFFERSON,State Representative,25,Republican Party,Steve Szutenbach,23267,
TOTAL,State Representative,25,Republican Party,Steve Szutenbach,23267,
JEFFERSON,State Representative,25,Democratic Party,Lisa A. Cutter,25968,
TOTAL,State Representative,25,Democratic Party,Lisa A. Cutter,25968,
EAGLE,State Representative,26,Republican Party,Nicki Mills,7978,
ROUTT,State Representative,26,Republican Party,Nicki Mills,4606,
TOTAL,State Representative,26,Republican Party,Nicki Mills,12584,
EAGLE,State Representative,26,Democratic Party,Dylan Roberts,12640,
ROUTT,State Representative,26,Democratic Party,Dylan Roberts,8121,
TOTAL,State Representative,26,Democratic Party,Dylan Roberts,20761,
EAGLE,State Representative,26,Unaffiliated,Luke Bray,729,
ROUTT,State Representative,26,Unaffiliated,Luke Bray,310,
TOTAL,State Representative,26,Unaffiliated,Luke Bray,1039,
JEFFERSON,State Representative,27,Democratic Party,Brianna Titone,24957,
TOTAL,State Representative,27,Democratic Party,Brianna Titone,24957,
JEFFERSON,State Representative,27,Republican Party,Vicki Pyne,24518,
TOTAL,State Representative,27,Republican Party,Vicki Pyne,24518,
JEFFERSON,State Representative,28,Republican Party,Kristina Joy Alley,14419,
TOTAL,State Representative,28,Republican Party,Kristina Joy Alley,14419,
JEFFERSON,State Representative,28,Democratic Party,Kerry Tipper,22286,
TOTAL,State Representative,28,Democratic Party,Kerry Tipper,22286,
JEFFERSON,State Representative,28,Libertarian Party,Ross Klopf,1265,
TOTAL,State Representative,28,Libertarian Party,Ross Klopf,1265,
JEFFERSON,State Representative,29,Republican Party,Grady Nouis,14169,
TOTAL,State Representative,29,Republican Party,Grady Nouis,14169,
JEFFERSON,State Representative,29,Democratic Party,Tracy Kraft-Tharp,22100,
TOTAL,State Representative,29,Democratic Party,Tracy Kraft-Tharp,22100,
JEFFERSON,State Representative,29,Libertarian Party,Hans V. Romer,1637,
TOTAL,State Representative,29,Libertarian Party,Hans V. Romer,1637,
ADAMS,State Representative,30,Democratic Party,Dafna Michaelson Jenet,16239,
TOTAL,State Representative,30,Democratic Party,Dafna Michaelson Jenet,16239,
ADAMS,State Representative,30,Republican Party,Susan Kochevar,11729,
TOTAL,State Representative,30,Republican Party,Susan Kochevar,11729,
ADAMS,State Representative,31,Republican Party,Rico Figueroa,11397,
TOTAL,State Representative,31,Republican Party,Rico Figueroa,11397,
ADAMS,State Representative,31,Democratic Party,Yadira Caraveo,16242,
TOTAL,State Representative,31,Democratic Party,Yadira Caraveo,16242,
ADAMS,State Representative,31,Libertarian Party,Bree Owens,1883,
TOTAL,State Representative,31,Libertarian Party,Bree Owens,1883,
ADAMS,State Representative,32,Democratic Party,Adrienne Benavidez,16644,
TOTAL,State Representative,32,Democratic Party,Adrienne Benavidez,16644,
BOULDER,State Representative,33,Republican Party,Eric Rutherford,4256,
BROOMFIELD,State Representative,33,Republican Party,Eric Rutherford,13076,
TOTAL,State Representative,33,Republican Party,Eric Rutherford,17332,
BOULDER,State Representative,33,Democratic Party,Matt Gray,8161,
BROOMFIELD,State Representative,33,Democratic Party,Matt Gray,19672,
TOTAL,State Representative,33,Democratic Party,Matt Gray,27833,
BOULDER,State Representative,33,Libertarian Party,Kim Tavendale,325,
BROOMFIELD,State Representative,33,Libertarian Party,Kim Tavendale,1002,
TOTAL,State Representative,33,Libertarian Party,Kim Tavendale,1327,
BOULDER,State Representative,33,Independent,Jay Geyer,576,
BROOMFIELD,State Representative,33,Independent,Jay Geyer,1511,
TOTAL,State Representative,33,Independent,Jay Geyer,2087,
ADAMS,State Representative,34,Republican Party,"Alexander ""Skinny"" Winkler",10565,
TOTAL,State Representative,34,Republican Party,"Alexander ""Skinny"" Winkler",10565,
ADAMS,State Representative,34,Democratic Party,Kyle Mullica,16039,
TOTAL,State Representative,34,Democratic Party,Kyle Mullica,16039,
ADAMS,State Representative,35,Democratic Party,Shannon Bird,20272,
TOTAL,State Representative,35,Democratic Party,Shannon Bird,20272,
ADAMS,State Representative,35,Republican Party,Bruce Baker,12645,
TOTAL,State Representative,35,Republican Party,Bruce Baker,12645,
ADAMS,State Representative,35,Libertarian Party,Ken Biles,1251,
TOTAL,State Representative,35,Libertarian Party,Ken Biles,1251,
ARAPAHOE,State Representative,36,Republican Party,Richard J. Bowman,12140,
TOTAL,State Representative,36,Republican Party,Richard J. Bowman,12140,
ARAPAHOE,State Representative,36,Democratic Party,Mike Weissman,18994,
TOTAL,State Representative,36,Democratic Party,Mike Weissman,18994,
ARAPAHOE,State Representative,37,Democratic Party,Tom Sullivan,21686,
TOTAL,State Representative,37,Democratic Party,Tom Sullivan,21686,
ARAPAHOE,State Representative,37,Republican Party,Cole Wist,18451,
TOTAL,State Representative,37,Republican Party,Cole Wist,18451,
ARAPAHOE,State Representative,38,Democratic Party,Chris Kolker,23790,
TOTAL,State Representative,38,Democratic Party,Chris Kolker,23790,
ARAPAHOE,State Representative,38,Republican Party,Susan Beckman,24164,
TOTAL,State Representative,38,Republican Party,Susan Beckman,24164,
DOUGLAS,State Representative,39,Republican Party,Mark Baisley,20851,
TELLER,State Representative,39,Republican Party,Mark Baisley,8438,
TOTAL,State Representative,39,Republican Party,Mark Baisley,29289,
DOUGLAS,State Representative,39,Democratic Party,Kamala Vanderkolk,12369,
TELLER,State Representative,39,Democratic Party,Kamala Vanderkolk,3798,
TOTAL,State Representative,39,Democratic Party,Kamala Vanderkolk,16167,
DOUGLAS,State Representative,39,Libertarian Party,Tony Gross,911,
TELLER,State Representative,39,Libertarian Party,Tony Gross,414,
TOTAL,State Representative,39,Libertarian Party,Tony Gross,1325,
ARAPAHOE,State Representative,40,Democratic Party,Janet Buckner,20731,
TOTAL,State Representative,40,Democratic Party,Janet Buckner,20731,
ARAPAHOE,State Representative,40,Republican Party,Richard Allen Bassett,12146,
TOTAL,State Representative,40,Republican Party,Richard Allen Bassett,12146,
ARAPAHOE,State Representative,41,Republican Party,Lynn Myers,10923,
TOTAL,State Representative,41,Republican Party,Lynn Myers,10923,
ARAPAHOE,State Representative,41,Democratic Party,Jovan Melton,19773,
TOTAL,State Representative,41,Democratic Party,Jovan Melton,19773,
ARAPAHOE,State Representative,42,Republican Party,Mike Donald,5240,
TOTAL,State Representative,42,Republican Party,Mike Donald,5240,
ARAPAHOE,State Representative,42,Democratic Party,Dominique Jackson,14419,
TOTAL,State Representative,42,Democratic Party,Dominique Jackson,14419,
DOUGLAS,State Representative,43,Republican Party,Kevin Van Winkle,22764,
TOTAL,State Representative,43,Republican Party,Kevin Van Winkle,22764,
DOUGLAS,State Representative,43,Democratic Party,Barrett Rothe,19027,
TOTAL,State Representative,43,Democratic Party,Barrett Rothe,19027,
DOUGLAS,State Representative,43,Unity Party of Colorado,Scott Wagner,874,
TOTAL,State Representative,43,Unity Party of Colorado,Scott Wagner,874,
DOUGLAS,State Representative,44,Republican Party,Kim Ransom,25654,
TOTAL,State Representative,44,Republican Party,Kim Ransom,25654,
DOUGLAS,State Representative,44,Democratic Party,Simone Aiken,18741,
TOTAL,State Representative,44,Democratic Party,Simone Aiken,18741,
DOUGLAS,State Representative,45,Democratic Party,Danielle Kombo,18581,
TOTAL,State Representative,45,Democratic Party,Danielle Kombo,18581,
DOUGLAS,State Representative,45,Republican Party,Patrick Neville,30865,
TOTAL,State Representative,45,Republican Party,Patrick Neville,30865,
PUEBLO,State Representative,46,Democratic Party,Daneya Esgar,20556,
TOTAL,State Representative,46,Democratic Party,Daneya Esgar,20556,
PUEBLO,State Representative,46,Republican Party,Jonathan Ambler,14436,
TOTAL,State Representative,46,Republican Party,Jonathan Ambler,14436,
FREMONT,State Representative,47,Democratic Party,Bri Buentello,923,
OTERO,State Representative,47,Democratic Party,Bri Buentello,3489,
PUEBLO,State Representative,47,Democratic Party,Bri Buentello,11912,
TOTAL,State Representative,47,Democratic Party,Bri Buentello,16324,
FREMONT,State Representative,47,Republican Party,Don Bendell,1988,
OTERO,State Representative,47,Republican Party,Don Bendell,3838,
PUEBLO,State Representative,47,Republican Party,Don Bendell,10177,
TOTAL,State Representative,47,Republican Party,Don Bendell,16003,
WELD,State Representative,48,Republican Party,Stephen Alan Humphrey,29393,
TOTAL,State Representative,48,Republican Party,Stephen Alan Humphrey,29393,
WELD,State Representative,48,Democratic Party,Gbenga Ajiboye,13967,
TOTAL,State Representative,48,Democratic Party,Gbenga Ajiboye,13967,
LARIMER,State Representative,49,Republican Party,Perry L. Buck,25739,
WELD,State Representative,49,Republican Party,Perry L. Buck,8128,
TOTAL,State Representative,49,Republican Party,Perry L. Buck,33867,
LARIMER,State Representative,49,Democratic Party,Conor Duffy,19310,
WELD,State Representative,49,Democratic Party,Conor Duffy,4002,
TOTAL,State Representative,49,Democratic Party,Conor Duffy,23312,
WELD,State Representative,50,Democratic Party,Rochelle Galindo,12159,
TOTAL,State Representative,50,Democratic Party,Rochelle Galindo,12159,
WELD,State Representative,50,Republican Party,Michael A. Thuener,10624,
TOTAL,State Representative,50,Republican Party,Michael A. Thuener,10624,
LARIMER,State Representative,51,Democratic Party,Joan Shaffer,19320,
TOTAL,State Representative,51,Democratic Party,Joan Shaffer,19320,
LARIMER,State Representative,51,Republican Party,Hugh McKean,24745,
TOTAL,State Representative,51,Republican Party,Hugh McKean,24745,
LARIMER,State Representative,52,Republican Party,Donna Walter,16614,
TOTAL,State Representative,52,Republican Party,Donna Walter,16614,
LARIMER,State Representative,52,Democratic Party,Joann Ginal,29708,
TOTAL,State Representative,52,Democratic Party,Joann Ginal,29708,
LARIMER,State Representative,53,Democratic Party,Jeni Arndt,29904,
TOTAL,State Representative,53,Democratic Party,Jeni Arndt,29904,
DELTA,State Representative,54,Republican Party,Matt Soper,3245,
MESA,State Representative,54,Republican Party,Matt Soper,18991,
TOTAL,State Representative,54,Republican Party,Matt Soper,22236,
DELTA,State Representative,54,Independent,Thea Chase,1176,
MESA,State Representative,54,Independent,Thea Chase,10273,
TOTAL,State Representative,54,Independent,Thea Chase,11449,
MESA,State Representative,55,Democratic Party,Tanya Travis,13401,
TOTAL,State Representative,55,Democratic Party,Tanya Travis,13401,
MESA,State Representative,55,Republican Party,Janice Rich,22470,
TOTAL,State Representative,55,Republican Party,Janice Rich,22470,
ADAMS,State Representative,56,Republican Party,Rod Bockenfeld,15079,
ARAPAHOE,State Representative,56,Republican Party,Rod Bockenfeld,10623,
TOTAL,State Representative,56,Republican Party,Rod Bockenfeld,25702,
ADAMS,State Representative,56,Democratic Party,Dave Rose,10760,
ARAPAHOE,State Representative,56,Democratic Party,Dave Rose,7914,
TOTAL,State Representative,56,Democratic Party,Dave Rose,18674,
ADAMS,State Representative,56,Libertarian Party,Kevin Gulbranson,1035,
ARAPAHOE,State Representative,56,Libertarian Party,Kevin Gulbranson,507,
TOTAL,State Representative,56,Libertarian Party,Kevin Gulbranson,1542,
GARFIELD,State Representative,57,Republican Party,Bob Rankin,12756,
MOFFAT,State Representative,57,Republican Party,Bob Rankin,4398,
RIO BLANCO,State Representative,57,Republican Party,Bob Rankin,2537,
TOTAL,State Representative,57,Republican Party,Bob Rankin,19691,
GARFIELD,State Representative,57,Democratic Party,Colin Wilhelm,10747,
MOFFAT,State Representative,57,Democratic Party,Colin Wilhelm,862,
RIO BLANCO,State Representative,57,Democratic Party,Colin Wilhelm,407,
TOTAL,State Representative,57,Democratic Party,Colin Wilhelm,12016,
DOLORES,State Representative,58,Republican Party,Marc Catlin,859,
MONTEZUMA,State Representative,58,Republican Party,Marc Catlin,6937,
MONTROSE,State Representative,58,Republican Party,Marc Catlin,13150,
SAN MIGUEL,State Representative,58,Republican Party,Marc Catlin,966,
TOTAL,State Representative,58,Republican Party,Marc Catlin,21912,
DOLORES,State Representative,58,Democratic Party,Seth Cagin,264,
MONTEZUMA,State Representative,58,Democratic Party,Seth Cagin,4355,
MONTROSE,State Representative,58,Democratic Party,Seth Cagin,5304,
SAN MIGUEL,State Representative,58,Democratic Party,Seth Cagin,3049,
TOTAL,State Representative,58,Democratic Party,Seth Cagin,12972,
ARCHULETA,State Representative,59,Democratic Party,Barbara McLachlan,2855,
GUNNISON,State Representative,59,Democratic Party,Barbara McLachlan,1823,
HINSDALE,State Representative,59,Democratic Party,Barbara McLachlan,237,
LA PLATA,State Representative,59,Democratic Party,Barbara McLachlan,16273,
OURAY,State Representative,59,Democratic Party,Barbara McLachlan,1824,
SAN JUAN,State Representative,59,Democratic Party,Barbara McLachlan,261,
TOTAL,State Representative,59,Democratic Party,Barbara McLachlan,23273,
ARCHULETA,State Representative,59,Independent,Paul Jones,3384,
GUNNISON,State Representative,59,Independent,Paul Jones,2079,
HINSDALE,State Representative,59,Independent,Paul Jones,282,
LA PLATA,State Representative,59,Independent,Paul Jones,11127,
OURAY,State Representative,59,Independent,Paul Jones,1226,
SAN JUAN,State Representative,59,Independent,Paul Jones,175,
TOTAL,State Representative,59,Independent,Paul Jones,18273,
CHAFFEE,State Representative,60,Democratic Party,Erin Kelley,5100,
CUSTER,State Representative,60,Democratic Party,Erin Kelley,827,
FREMONT,State Representative,60,Democratic Party,Erin Kelley,5002,
PARK,State Representative,60,Democratic Party,Erin Kelley,3497,
TOTAL,State Representative,60,Democratic Party,Erin Kelley,14426,
CHAFFEE,State Representative,60,Republican Party,"James D. ""Jim"" Wilson",5391,
CUSTER,State Representative,60,Republican Party,"James D. ""Jim"" Wilson",1883,
FREMONT,State Representative,60,Republican Party,"James D. ""Jim"" Wilson",10726,
PARK,State Representative,60,Republican Party,"James D. ""Jim"" Wilson",5468,
TOTAL,State Representative,60,Republican Party,"James D. ""Jim"" Wilson",23468,
CHAFFEE,State Representative,60,Libertarian Party,Glenn Ingalls,302,
CUSTER,State Representative,60,Libertarian Party,Glenn Ingalls,88,
FREMONT,State Representative,60,Libertarian Party,Glenn Ingalls,597,
PARK,State Representative,60,Libertarian Party,Glenn Ingalls,356,
TOTAL,State Representative,60,Libertarian Party,Glenn Ingalls,1343,
DELTA,State Representative,61,Democratic Party,Julie McCluskie,3856,
GUNNISON,State Representative,61,Democratic Party,Julie McCluskie,3281,
LAKE,State Representative,61,Democratic Party,Julie McCluskie,1794,
PITKIN,State Representative,61,Democratic Party,Julie McCluskie,7190,
SUMMIT,State Representative,61,Democratic Party,Julie McCluskie,9942,
TOTAL,State Representative,61,Democratic Party,Julie McCluskie,26063,
DELTA,State Representative,61,Republican Party,Mike Mason,6365,
GUNNISON,State Representative,61,Republican Party,Mike Mason,1337,
LAKE,State Representative,61,Republican Party,Mike Mason,944,
PITKIN,State Representative,61,Republican Party,Mike Mason,2278,
SUMMIT,State Representative,61,Republican Party,Mike Mason,3991,
TOTAL,State Representative,61,Republican Party,Mike Mason,14915,
ALAMOSA,State Representative,62,Democratic Party,Donald E. Valdez,3233,
CONEJOS,State Representative,62,Democratic Party,Donald E. Valdez,2105,
COSTILLA,State Representative,62,Democratic Party,Donald E. Valdez,1134,
HUERFANO,State Representative,62,Democratic Party,Donald E. Valdez,1947,
MINERAL,State Representative,62,Democratic Party,Donald E. Valdez,262,
PUEBLO,State Representative,62,Democratic Party,Donald E. Valdez,5369,
RIO GRANDE,State Representative,62,Democratic Party,Donald E. Valdez,2145,
SAGUACHE,State Representative,62,Democratic Party,Donald E. Valdez,1557,
TOTAL,State Representative,62,Democratic Party,Donald E. Valdez,17752,
ALAMOSA,State Representative,62,Republican Party,Scott Honeycutt,2760,
CONEJOS,State Representative,62,Republican Party,Scott Honeycutt,1486,
COSTILLA,State Representative,62,Republican Party,Scott Honeycutt,482,
HUERFANO,State Representative,62,Republican Party,Scott Honeycutt,1659,
MINERAL,State Representative,62,Republican Party,Scott Honeycutt,325,
PUEBLO,State Representative,62,Republican Party,Scott Honeycutt,2991,
RIO GRANDE,State Representative,62,Republican Party,Scott Honeycutt,2765,
SAGUACHE,State Representative,62,Republican Party,Scott Honeycutt,1044,
TOTAL,State Representative,62,Republican Party,Scott Honeycutt,13512,
WELD,State Representative,63,Republican Party,Lori A. Saine,25816,
TOTAL,State Representative,63,Republican Party,Lori A. Saine,25816,
WELD,State Representative,63,Democratic Party,Brandon D. Bobian,15346,
TOTAL,State Representative,63,Democratic Party,Brandon D. Bobian,15346,
WELD,State Representative,63,Libertarian Party,Joe Johnson,2060,
TOTAL,State Representative,63,Libertarian Party,Joe Johnson,2060,
BACA,State Representative,64,Republican Party,Kimmi Lewis,1643,
BENT,State Representative,64,Republican Party,Kimmi Lewis,1261,
CROWLEY,State Representative,64,Republican Party,Kimmi Lewis,996,
ELBERT,State Representative,64,Republican Party,Kimmi Lewis,11158,
KIOWA,State Representative,64,Republican Party,Kimmi Lewis,670,
LAS ANIMAS,State Representative,64,Republican Party,Kimmi Lewis,3539,
LINCOLN,State Representative,64,Republican Party,Kimmi Lewis,1718,
PROWERS,State Representative,64,Republican Party,Kimmi Lewis,3071,
WASHINGTON,State Representative,64,Republican Party,Kimmi Lewis,2093,
TOTAL,State Representative,64,Republican Party,Kimmi Lewis,26149,
BACA,State Representative,64,Democratic Party,Teri Nilson Baird,240,
BENT,State Representative,64,Democratic Party,Teri Nilson Baird,583,
CROWLEY,State Representative,64,Democratic Party,Teri Nilson Baird,380,
ELBERT,State Representative,64,Democratic Party,Teri Nilson Baird,3157,
KIOWA,State Representative,64,Democratic Party,Teri Nilson Baird,89,
LAS ANIMAS,State Representative,64,Democratic Party,Teri Nilson Baird,2640,
LINCOLN,State Representative,64,Democratic Party,Teri Nilson Baird,314,
PROWERS,State Representative,64,Democratic Party,Teri Nilson Baird,998,
WASHINGTON,State Representative,64,Democratic Party,Teri Nilson Baird,250,
TOTAL,State Representative,64,Democratic Party,Teri Nilson Baird,8651,
CHEYENNE,State Representative,65,Republican Party,Rod Pelton,854,
KIT CARSON,State Representative,65,Republican Party,Rod Pelton,2548,
LOGAN,State Representative,65,Republican Party,Rod Pelton,6501,
MORGAN,State Representative,65,Republican Party,Rod Pelton,7421,
PHILLIPS,State Representative,65,Republican Party,Rod Pelton,1531,
SEDGWICK,State Representative,65,Republican Party,Rod Pelton,884,
YUMA,State Representative,65,Republican Party,Rod Pelton,3007,
TOTAL,State Representative,65,Republican Party,Rod Pelton,22746,
CHEYENNE,State Representative,65,Democratic Party,Bethleen McCall,135,
KIT CARSON,State Representative,65,Democratic Party,Bethleen McCall,497,
LOGAN,State Representative,65,Democratic Party,Bethleen McCall,1835,
MORGAN,State Representative,65,Democratic Party,Bethleen McCall,2845,
PHILLIPS,State Representative,65,Democratic Party,Bethleen McCall,427,
SEDGWICK,State Representative,65,Democratic Party,Bethleen McCall,272,
YUMA,State Representative,65,Democratic Party,Bethleen McCall,1054,
TOTAL,State Representative,65,Democratic Party,Bethleen McCall,7065,
BOULDER,District Attorney - District 20,,Democratic Party,Michael Dougherty,133806,
TOTAL,District Attorney - District 20,,Democratic Party,Michael Dougherty,133806,
ADAMS,Regional Transportation District - District B,,,Chris Martinez,3246,
DENVER,Regional Transportation District - District B,,,Chris Martinez,15869,
TOTAL,Regional Transportation District - District B,,,Chris Martinez,19115,
ADAMS,Regional Transportation District - District B,,,Shontel Marie Lewis,3102,
DENVER,Regional Transportation District - District B,,,Shontel Marie Lewis,25412,
TOTAL,Regional Transportation District - District B,,,Shontel Marie Lewis,28514,
ADAMS,Regional Transportation District - District B,,,JoyAnn Keener Ruscha,1691,
DENVER,Regional Transportation District - District B,,,JoyAnn Keener Ruscha,10278,
TOTAL,Regional Transportation District - District B,,,JoyAnn Keener Ruscha,11969,
DENVER,Regional Transportation District - District C,,,Angie Rivera-Malpiede,18404,
JEFFERSON,Regional Transportation District - District C,,,Angie Rivera-Malpiede,1269,
TOTAL,Regional Transportation District - District C,,,Angie Rivera-Malpiede,19673,
DENVER,Regional Transportation District - District C,,,Bonnie Ernest Archuleta,10108,
JEFFERSON,Regional Transportation District - District C,,,Bonnie Ernest Archuleta,878,
TOTAL,Regional Transportation District - District C,,,Bonnie Ernest Archuleta,10986,
DENVER,Regional Transportation District - District C,,,Julia Stewart,15320,
JEFFERSON,Regional Transportation District - District C,,,Julia Stewart,1537,
